MSH	http://www.corepointhealth.com/resource-center/hl7-resources/hl7-msh-message-header				
SEQ	LEN	DT	OPT	RP/#	ELEMENT NAME
1	1	ST	R		Field Separator
2	4	ST	R		Encoding Characters
3	180	HD	O		Sending Application
4	180	HD	O		Sending Facility
5	180	HD	O		Receiving Application
6	180	HD	O		Receiving Facility
7	26	TS	O		Date/Time of Message
8	40	ST	O		Security
9	7	CM_MSG	R		Message Type
10	20	ST	R		Message Control Id
11	3	PT	R		Processing Id
12	8	ID	R		Version Id
13	15	NM	O		Sequence Number
14	180	ST	O		Continuation Pointer
15	2	ID	O		Accept Acknowledgement Type
16	2	ID	O		Application Acknowledgement Type
17	2	ID	O		Country Code
18	6	ID	O		Character Set
19	3	CE	O		Principal Language of Message
					
PID	http://www.corepointhealth.com/resource-center/hl7-resources/hl7-pid-segment				
SEQ	LEN	DT	OPT	RP/#	ELEMENT NAME
1	4	SI	O		Set ID – Patient ID
2	20	CX	O		Patient ID (External ID)
3	20	CX	R	Y	Patient ID (Internal ID)
4	20	CX	O	Y	Alternate Patient ID – PID
5	48	XPN	R	Y	Patient Name
6	48	XPN	O		Mother’s Maiden Name
7	26	TS	O		Date/Time of Birth
8	1	IS	O		Sex
9	48	XPN	O	Y	Patient Alias
10	1	IS	O		Race
11	106	XAD	O	Y	Patient Address
12	4	IS	B		Country Code
13	40	XTN	O	Y	Phone Number – Home
14	40	XTN	O	Y	Phone Number – Business
15	60	CE	O		Primary Language
16	1	IS	O		Marital Status
17	3	IS	O		Religion
18	20	CX	O		Patient Account Number
19	16	ST	O		SSN Number – Patient
20	25	DLN	O		Driver’s License Number - Patient
21	20	CX	O	Y	Mother’s Identifier
22	3	IS	O		Ethnic Group
23	60	ST	O		Birth Place
24	2	ID	O		Multiple Birth Indicator
25	2	NM	O		Birth Order
26	4	IS	O	Y	Citizenship
27	60	CE	O		Veterans Military Status
28	80	CE	O		Nationality
29	26	TS	O		Patient Death Date and Time
30	1	ID	O		Patient Death Indicator
